time,impact,instrument,event
2026-01-02T15:00:00Z,medium,*,US ISM Manufacturing PMI
2026-01-06T15:00:00Z,high,*,ISM Services PMI
2026-01-07T15:00:00Z,high,*,US JOLTS Job Openings
2026-01-08T13:30:00Z,medium,*,US ADP Employment
2026-01-08T13:30:00Z,medium,*,US Initial Jobless Claims
2026-01-09T13:30:00Z,high,*,US Non-Farm Payrolls
2026-01-13T13:30:00Z,medium,*,US PPI
2026-01-14T13:30:00Z,high,*,US CPI / PPI cluster
2026-01-15T13:30:00Z,medium,*,US Initial Jobless Claims
2026-01-16T13:30:00Z,medium,*,US Retail Sales
2026-01-22T13:30:00Z,medium,*,US Initial Jobless Claims
2026-01-23T15:00:00Z,medium,*,UMich Consumer Sentiment
2026-01-27T15:00:00Z,medium,*,US Conference Board Consumer Confidence
2026-01-28T19:00:00Z,high,*,FOMC Rate Decision
2026-01-29T13:30:00Z,medium,*,US GDP Q4 advance
2026-01-30T13:30:00Z,high,*,US PPI
2026-02-02T15:00:00Z,medium,*,US ISM Manufacturing PMI
2026-02-04T13:30:00Z,medium,*,US ADP Employment
2026-02-05T15:00:00Z,high,*,US JOLTS Job Openings
2026-02-05T15:00:00Z,medium,*,ISM Services PMI
2026-02-06T13:30:00Z,high,*,US Non-Farm Payrolls
2026-02-11T13:30:00Z,high,*,US CPI
2026-02-12T13:30:00Z,medium,*,US PPI
2026-02-12T13:30:00Z,medium,*,US Initial Jobless Claims
2026-02-13T13:30:00Z,medium,*,US Retail Sales
2026-02-18T13:30:00Z,medium,*,FOMC Minutes
2026-02-19T13:30:00Z,medium,*,US Initial Jobless Claims
2026-02-20T15:00:00Z,medium,*,UMich Consumer Sentiment
2026-02-24T15:00:00Z,medium,*,US Conference Board Consumer Confidence
2026-02-26T13:30:00Z,medium,*,US GDP Q4 second
2026-02-27T13:30:00Z,high,*,US Core PCE / PPI cluster
2026-03-02T15:00:00Z,medium,*,US ISM Manufacturing PMI
2026-03-04T13:30:00Z,medium,*,US ADP Employment
2026-03-04T15:00:00Z,medium,*,ISM Services PMI
2026-03-05T13:30:00Z,medium,*,US Initial Jobless Claims
2026-03-06T13:30:00Z,high,*,US Non-Farm Payrolls
2026-03-11T12:30:00Z,high,*,US CPI
2026-03-12T12:30:00Z,medium,*,US PPI
2026-03-12T12:30:00Z,medium,*,US Initial Jobless Claims
2026-03-13T14:00:00Z,high,*,US JOLTS Job Openings
2026-03-17T12:30:00Z,medium,*,US Retail Sales
2026-03-18T12:30:00Z,high,*,US PPI
2026-03-18T18:00:00Z,high,*,FOMC Rate Decision
2026-03-20T14:00:00Z,medium,*,UMich Consumer Sentiment
2026-03-24T14:00:00Z,medium,*,US Conference Board Consumer Confidence
2026-03-26T12:30:00Z,medium,*,US GDP Q4 final
2026-03-27T12:30:00Z,high,*,US Core PCE
2026-03-31T14:00:00Z,high,*,US JOLTS Job Openings
2026-04-01T14:00:00Z,high,*,US Consumer Confidence
2026-04-01T14:00:00Z,medium,*,US ISM Manufacturing PMI
2026-04-02T12:15:00Z,high,*,US ADP Employment
2026-04-02T12:30:00Z,high,*,US Retail Sales
2026-04-02T14:00:00Z,medium,*,ISM Services PMI
2026-04-03T12:30:00Z,high,*,US Non-Farm Payrolls
2026-04-09T12:30:00Z,medium,*,US Initial Jobless Claims
2026-04-10T12:30:00Z,high,*,US CPI
2026-04-13T12:30:00Z,medium,*,US PPI cluster
2026-04-14T12:30:00Z,high,*,US PPI
2026-04-15T12:30:00Z,high,*,US Retail Sales
2026-04-16T12:30:00Z,medium,*,US Initial Jobless Claims
2026-04-17T14:00:00Z,medium,*,UMich Consumer Sentiment
2026-04-21T14:00:00Z,medium,*,US Conference Board Consumer Confidence
2026-04-23T12:30:00Z,medium,*,US Initial Jobless Claims
2026-04-24T12:30:00Z,high,*,US Core PCE
2026-04-24T14:00:00Z,medium,*,UMich Consumer Sentiment
